HIGHEST_NIBRS_DESCRIPTION,CLEARANCE_STATUS,DATE_REPORTED,CMPD_PATROL_DIVISION
Intimidation,Exceptionally Cleared,2017-04-01,Steele Creek
Intimidation,Exceptionally Cleared,2023-04-14,South
Simple Assault,Open,2024-04-06,Central
Simple Assault,Open,2024-02-02,Providence
Simple Assault,Cleared by Arrest,2017-11-17,Westover
Simple Assault,Cleared by Arrest,2017-03-30,Central
Simple Assault,Exceptionally Cleared,2022-11-24,Providence
Simple Assault,Cleared by Arrest,2023-02-07,Hickory Grove
Intimidation,Open,2021-08-12,Steele Creek
Simple Assault,Open,2021-12-17,Westover
Simple Assault,Cleared by Arrest,2019-12-14,North Tryon
Simple Assault,Exceptionally Cleared,2022-07-06,Steele Creek
Simple Assault,Cleared by Arrest,2024-06-11,University City
Simple Assault,Open,2024-01-01,Hickory Grove
Simple Assault,Open,2023-05-29,North
Simple Assault,Cleared by Arrest,2024-02-09,Steele Creek
Intimidation,Open,2022-01-02,Central
Simple Assault,Exceptionally Cleared,2020-03-12,University City
Simple Assault,Open,2020-07-24,Hickory Grove
Simple Assault,Cleared by Arrest,2017-06-24,Westover
Simple Assault,Cleared by Arrest,2024-07-25,Eastway
Simple Assault,Open,2023-07-26,University City
Simple Assault,Open,2018-03-13,Hickory Grove
Intimidation,Open,2024-03-17,University City
Simple Assault,Cleared by Arrest,2023-08-21,Central
Simple Assault,Open,2023-07-04,Providence
Simple Assault,Cleared by Arrest,2018-11-01,Eastway
Intimidation,Open,2024-07-12,Steele Creek
Simple Assault,Open,2022-12-07,Freedom
Intimidation,Open,2019-09-20,Steele Creek
Simple Assault,Exceptionally Cleared,2022-07-21,Providence
Simple Assault,Open,2020-09-13,University City
Simple Assault,Open,2018-02-07,Central
Simple Assault,Cleared by Arrest,2024-09-28,Westover
Simple Assault,Exceptionally Cleared,2022-05-08,Westover
Intimidation,Open,2021-08-09,University City
Simple Assault,Cleared by Arrest,2020-11-21,Westover
Simple Assault,Open,2023-10-16,Eastway
Simple Assault,Open,2020-08-31,Metro
Simple Assault,Open,2019-11-22,Westover
Simple Assault,Open,2022-11-08,Westover
Intimidation,Open,2017-06-03,North
Simple Assault,Open,2023-08-06,North Tryon
Simple Assault,Open,2019-03-10,Central
Simple Assault,Open,2023-03-19,Westover
Simple Assault,Exceptionally Cleared,2022-12-04,Westover
Intimidation,Cleared by Arrest,2021-07-22,Steele Creek
Intimidation,Cleared by Arrest,2018-11-14,Independence
Simple Assault,Exceptionally Cleared,2022-11-06,North
Simple Assault,Cleared by Arrest,2017-10-12,Steele Creek
Intimidation,Exceptionally Cleared,2022-08-25,University City
Simple Assault,Unfounded,2017-03-01,Metro
Intimidation,Open,2021-03-10,Hickory Grove
Simple Assault,Unfounded,2020-03-25,Eastway
Simple Assault,Cleared by Arrest,2017-01-02,Hickory Grove
Simple Assault,Unfounded,2019-12-17,Metro
Simple Assault,Open,2019-06-22,Central
Simple Assault,Exceptionally Cleared,2019-09-15,Freedom
Intimidation,Cleared by Arrest,2017-09-20,Westover
Simple Assault,Cleared by Arrest,2018-12-29,Providence
Simple Assault,Exceptionally Cleared,2023-07-30,Providence
Simple Assault,Exceptionally Cleared,2024-04-26,Steele Creek
Simple Assault,Cleared by Arrest,2023-07-01,Westover
Simple Assault,Open,2020-01-10,Westover
Simple Assault,Open,2020-03-30,Steele Creek
Simple Assault,Open,2024-07-31,Eastway
Simple Assault,Cleared by Arrest,2021-05-09,University City
Simple Assault,Open,2020-04-05,University City
Simple Assault,Open,2021-02-04,Freedom
Simple Assault,Open,2021-04-24,Airport
Intimidation,Exceptionally Cleared,2021-02-25,Metro
Intimidation,Exceptionally Cleared,2022-07-31,Westover
Simple Assault,Open,2017-09-10,Independence
Simple Assault,Cleared by Arrest,2020-05-10,Metro
Simple Assault,Open,2020-12-29,North Tryon
Simple Assault,Open,2022-11-03,Steele Creek
